username,keywords,tweet
Solis_Alis_,[],b'I really don\xe2\x80\x99t have anything to confess to anymore. My mistakes in life have been paid back tenfold at least. Also I pretty much documented my struggle with opioid addiction on this shithole site (smart move!) and got lots of love and support for it. So yeah I\xe2\x80\x99m goodt'
Rewill251,"['problems', 'anxiety', 'depression']","b'@meiselasb @IAMSOUL53 My case for legalization is because of the opioid epidemic, marijuana can be beneficial to those getting opioid addiction treatment. Marijuana is known to reduce anxiety and help with depression. 2 major health problems associated with addiction. Plus it helps with pain mgmt'"
cutelittlepunk,['alcohol'],b'@noclosr2heaven haha yea oxycodone is a very strong opioid. the funny thing is alcohol makes me sleep but opioids dont. so i guess i have the opposite problem as u'
helplessduck,['enough'],"b'@CynicalTherapi1 @thrivingfornow The attention on the opioid crisis has had a boomerang effect. When I end up in the ED, it is because I NEED Dilaudid to bring the pain under control enough that I can communicate about this emergency. I want the Sacklers to hang as much as anyone, but I have to fight for hours.'"
jaredk34,['legal'],"b'@blxckshxwn @mr_austin2u @angeIsvice @DJCHICHON1 @DeezInSeven @merakidemoreau @xxsophiexxo Likelihood has nothing to do with it. one kills a non opioid user instantly, the other is harmless, I\xe2\x80\x99m just countering the point that street weed is safer than dispensary weed. Also I smoke street weed bc I live in a non legal state, but I\xe2\x80\x99m just disagreeing with OP\xe2\x80\x99s point'"
natural_strap,['legal'],b'@FreyjaErlings A weak opioid helps the pain (strong ones feel nice at first and then cause rebound pain IME) but the side effects are intolerable for me. Luckily cannabis is legal and easy to get where I live'
Data_Surfer,['alcohol'],b'@pmarca Is the opioid epidemic actually a problem? Yes. Is banning opioids a good idea? No. (It did not work with alcohol either.) Should we ban opioids then? No. Is the opioid epidemic the current thing? Oh yes.'
AlianaHermes66,['enough'],"b'@NathanMackBrown No.  Because ever since the ""opioid crisis"" caused the pain meds (Tramadol) to be cut to 30% if what I need, I have a problem just standing in my kitchen long enough to cook pasta.  I stay on top of absentee ballots for this reason.'"
Sometimesimsads,['issues'],"b'@LOCALOUTSIDE @secondchances09 I agree that abusing opioid prescriptions is what causes issues. It\xe2\x80\x99s when people take extra pills, snort them, or take them closer together. I never get \xe2\x80\x9chigh\xe2\x80\x9d and take 60mg a day (CRPS). My friend got hooked; he was supposed to take 1 every 6 hours and was taking 4-6 an hour.'"
JolieLoken,"['alcohol', 'depression']",b'I remember when my depression used to give me spurts of life changing motivation and now I just get spurts of crippling alcohol and heroin addiction lol'
PeachyAenne,['enough'],"b""@Atarla Take an opioid and an anti-anxiety for day of placement. I would also ask for post procedure pain meds. They told me just to take ibuprofen, and it wasn't enough (like i vomited from pain).\n\nSome people don't have a lot of pain. But always better to be prepared."""
amylauren3,['rely'],b'I am on tramadol for 10 days post op for pain.  They are suck a god send. But because they are an opioid I am 100% don\xe2\x80\x99t want to rely on them. But I love the way they make me feel my pain goes away instantly.  And the state right before I fall asleep is amazing LOL'
LoveABug,['enough'],"b""@TheAmirImani @UKGastroDr when i had my tonsils out codeine didn't help much with pain - i was taking every 4 hours for 2 weeks. instead it made me high enough that i forgot about the pain i was in/slept through pain. cannabis was more effective than codeine for me, fewer SE &amp; stimulated appetite"""
coomsicle,['legal'],"b'@seamusotoole10 oh yeah tramadol or codeine (maybe even dihydrocodiene or morphine if you\xe2\x80\x99re lucky) are easy to come by as well. tramadol and codeine suck ass to me personally, i\xe2\x80\x99d rather just take kratom which is legal in most states and far cheaper'"
pb5143,['depression'],"b'2 years ago this week, I tried 2 kill myself. 14 zopiclone, 8 diazepam, 24 codeine couldn\xe2\x80\x99t finish me off. Still here, fucking grateful, inspired and motivated to live the best fucking life I can. Cheers Twitter cunts \xf0\x9f\xa5\xb3 #depression #suicide #SuicidePrevention #mentalhealth'"
lolaswolf,['alcohol'],"b'@kthorjensen My boyfriend at the time dragged me to a show after I had some health issue so I was hopped up on codeine. Between that, the alcohol, the cigarette smoke, I was so sick. The band stripped, put socks on their dicks and i promptly threw up. They were the Red Hot Chili Peppers.'"
187timeflies,['inject'],"b""I inject heroin into my arm that's scarred from times prior, my eyes roll back into my head as my manager pounds on my door telling me I'm on in five minutes. Let's rock I say as I grab my bass guitar take a pull of whisky, and get into my chuckee cheese mouse band costume"""
Faltcel,['alcohol'],"b""@Knight2Archer The only medications they offer me are no good. They don't do anything. And also provide no happiness benefit. Heroin, alcohol etc are all perfect. They offer the mindnumbing, emotion dampening effects as well as the dopamine I've not been able to source through normal life"""
