panda_luvin,"b'@BradOpinionMan @Dr_Alan_N @VPrasadMDMPH Physicians believe the pharmaceutical companies, it\xe2\x80\x99s just the nature of modern medicine (opioid crisis?). Early on everyone was lining up for the first 2 doses, also physicians were mandated to get the vaccine. Now? Not so much. 3rd dose no thanks. 4th dose, not a chance.'"
DoctorDecipher,"b'@RichardWelchTX @kroger Who writes the opioid prescription? It\xe2\x80\x99s ok for dr to write IVM but not fentanyl? But I thought we had to do whatever the doctor said. Pharmacists don\xe2\x80\x99t write the prescription, so we didn\xe2\x80\x99t cause the opioid crisis, sweetie'"
MikeDervan,b'@AnnCoulter who was it who started the opioid epidemic in the US again???'
cutelittlepunk,b'@noclosr2heaven haha yea oxycodone is a very strong opioid. the funny thing is alcohol makes me sleep but opioids dont. so i guess i have the opposite problem as u'
mylifewithdoug,"b""@ChiefPalmer @VancouverPD Mental health issues and opioid addictions are so prevalent so I'm sure that you are not that surprised. On an unrelated matter when will the apology to Maxwell Johnson and his young granddaughter take place. Hopefully you will post/stream it."""
cutelittlepunk,"b'@noclosr2heaven or lean. i know its a meme but codeine is genuinely very good for that kind of thing too, any kind of opioid is really'"
DoctorDecipher,"b'@Controlavirus20 Who writes the opioid prescription? It\xe2\x80\x99s ok for dr to write IVM but not fentanyl? But I thought we had to do whatever the doctor said. Pharmacists don\xe2\x80\x99t write the prescription, so we didn\xe2\x80\x99t cause the opioid crisis, sweetie'"
DoctorDecipher,"b'@peace_toad Who writes the opioid prescription? It\xe2\x80\x99s ok for dr to write IVM but not fentanyl? But I thought we had to do whatever the doctor said. Pharmacists don\xe2\x80\x99t write the prescription, so we didn\xe2\x80\x99t cause the opioid crisis, sweetie'"
DoctorDecipher,"b'@llamallamamama2 Who writes the fentanyl prescription? It\xe2\x80\x99s ok for dr to write IVM but not fentanyl? But I thought we had to do whatever the doctor said. Pharmacists don\xe2\x80\x99t write the prescription, so we didn\xe2\x80\x99t cause the opioid crisis, sweetie'"
DrugSlanger,"b'@SydneyDAK I mean they want us to deny opioid scripts, which have a legitimate medical use, but we are NOT allowed to deny ivermectin scripts which are certified bullshit lol'"
boswelljo22,"b'@BrianEskow Yes it is. About 70,000 people die from opioid abuse each year. Tragic. Well written paper,'"
Bunnywabbitt52,b'@GovAndyBeshear Just wanted to support your possible executive action to legalize medical marijuana! This will positively effect opioid dependence as well as the Kentucky economy!  \nThanks for all you do!'
HrubecNicola,b'In 2010 I lost my cousin who served 3 tours in Army. Suicide. In 2017- I lost my other cousin to an opioid overdose. Both should of never happened. It\xe2\x80\x99s hard to survive now a days. Enough arguing. Be an adult and listen- then agree to disagree. Grow up humans'
S_SandersOWAI,"b""@SarahforWI Can you stop focusing on the behind the scenes inter party bullshit and mabey focus on things that matter like not letting Nazism rise again or ending the opioid epidemic? Mabey the MAJORITY of Americans want to get rid of the 1% in both parties that can't play nice \xf0\x9f\xa4\x94\xf0\x9f\xa7\x90"""
SydneyDAK,b'The pro-IVM cult is using the opioid epidemic as their \xe2\x80\x9cfire power\xe2\x80\x9d. Saying pharmacists can\xe2\x80\x99t be trusted because we allow the filling of opioids and it\xe2\x80\x99s our fault the epidemic started. I can\xe2\x80\x99t with all these idiots. It\xe2\x80\x99s infuriating. Imma blow a fuse \xf0\x9f\xa4\xac#twitterx'
fatassnuts,b'Why does future never rap about opioid induced constipation'
lmstroud89,"b""10/Maybe also explain companies' and the FDA's role in creating the American opioid epidemic. It's truly a U.S. phenomenon. No other country is seeing levels of youth overdose deaths like America is."""
DoctorDecipher,b'@driakos @kroger @MdBreathe Pharmacists dispense narcan for all the scripts the DOCTORS write for opioids. We refuse opioid scripts all the time'
